"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1030220-10","","東神野(1)","","33.26747","130.29382","1030220-10","","0","1030220","",""
"1030219-01","","堀江通(1)","","33.26472","130.29364","1030219-01","","0","1030219","",""
"1030218-03","","佐賀駅北口(3)","","33.26462","130.295976","1030218-03","","0","1030218","",""
"1030247-00","","開拓入口","","33.32502","130.30476","1030247-00","","0","1030247","",""
"1030248-20","","弘学館前(2)","","33.32813","130.30524","1030248-20","","0","1030248","",""
"1030249-20","","金立いこいの広場(2)","","33.32832","130.30893","1030249-20","","0","1030249","",""
"1030250-20","","島崎(2)","","33.32487","130.30865","1030250-20","","0","1030250","",""
"1030250-10","","島崎(1)","","33.32523","130.30855","1030250-10","","0","1030250","",""
"1030249-10","","金立いこいの広場(1)","","33.32822","130.30862","1030249-10","","0","1030249","",""
"1030248-10","","弘学館前(1)","","33.328","130.30528","1030248-10","","0","1030248","",""
"1003021-00","","佐賀女子短大・高校前","","33.24626","130.28627","1003021-00","","0","1003021","",""
"1003016-10","","道祖元町(1)","","33.24747","130.28499","1003016-10","","0","1003016","",""
"1003015-10","","西田代(1)","","33.24941","130.288058","1003015-10","","0","1003015","",""
"1003013-10","","辻の堂(1)","","33.250118","130.293428","1003013-10","","0","1003013","",""
"1003012-00","","県警本部前","","33.250695","130.298559","1003012-00","","0","1003012","",""
"1003020-10","","旭学園通り南(1)","","33.24424","130.28656","1003020-10","","0","1003020","",""
"1003019-10","","佐賀大学西(1)","","33.24448","130.28828","1003019-10","","0","1003019","",""
"1003018-01","","佐賀大学前(1)","","33.2456","130.29308","1003018-01","","0","1003018","",""
"1003017-10","","与賀町(1)","","33.24912","130.2925","1003017-10","","0","1003017","",""
"1001002-04","","佐賀駅バスセンター(4)","","33.26442","130.29926","1001002-04","","0","1001002","",""
"1003011-00","","県庁前","","33.250532","130.298565","1003011-00","","0","1003011","",""
"1003013-20","","辻の堂(2)","","33.250109","130.294796","1003013-20","","0","1003013","",""
"1003017-20","","与賀町(2)","","33.2481","130.29295","1003017-20","","0","1003017","",""
"1003018-03","","佐賀大学前(3)","","33.24476","130.29268","1003018-03","","0","1003018","",""
"1003019-20","","佐賀大学西(2)","","33.24455","130.28891","1003019-20","","0","1003019","",""
"1003020-20","","旭学園通り南(2)","","33.24419","130.28682","1003020-20","","0","1003020","",""
"1003014-00","","与賀町西","","33.249783","130.291639","1003014-00","","0","1003014","",""
"1003015-20","","西田代(2)","","33.249142","130.287336","1003015-20","","0","1003015","",""
"1003016-20","","道祖元町(2)","","33.2475","130.28505","1003016-20","","0","1003016","",""
"1006034-00","","佐賀城跡","","33.2467","130.30214","1006034-00","","0","1006034","",""
"1006033-10","","サガテレビ前(1)","","33.24704","130.3008","1006033-10","","0","1006033","",""
"1006032-10","","県庁舎(1)","","33.24837","130.30051","1006032-10","","0","1006032","",""
"1006032-20","","県庁舎(2)","","33.2484","130.30063","1006032-20","","0","1006032","",""
"1006033-20","","サガテレビ前(2)","","33.24727","130.30084","1006033-20","","0","1006033","",""
"1030234-03","","尼寺東(3)","","33.309635","130.283862","1030234-03","","0","1030234","",""
"1030235-20","","真島(2)","","33.31087","130.28856","1030235-20","","0","1030235","",""
"1024168-02","","どんどんどんの森東(2)","","33.2628","130.2935","1024168-02","","0","1024168","",""
"1058324-20","","どんどんどんの森前(2)","","33.25914","130.29182","1058324-20","","0","1058324","",""
"1058325-20","","多布施(2)","","33.25898","130.29041","1058325-20","","0","1058325","",""
"1058326-20","","多布施橋(2)","","33.25855","130.28633","1058326-20","","0","1058326","",""
"1058327-20","","佐賀工業高校前(2)","","33.2579","130.28421","1058327-20","","0","1058327","",""
"1058328-20","","中折(2)","","33.25735","130.2823","1058328-20","","0","1058328","",""
"1058329-20","","北高前(2)","","33.25642","130.27798","1058329-20","","0","1058329","",""
"1058330-20","","新栄小前(2)","","33.25628","130.27544","1058330-20","","0","1058330","",""
"1058331-20","","新栄小西(2)","","33.25608","130.27116","1058331-20","","0","1058331","",""
"1058332-20","","鍋島駅南(2)","","33.25579","130.26526","1058332-20","","0","1058332","",""
"1058333-20","","鍋島駅西(2)","","33.2617","130.26306","1058333-20","","0","1058333","",""
